question,answer,track
أول كورس هتاخده في تراك MSD Digital Supply Chain Specialist؟,"أول كورس في الخطة الدراسية لـ MSD Digital Supply Chain Specialist هو ""ERP Business Introduction and SCM Concepts"".",Management & ERP
مين الـ MSD Digital Human Resources Specialist وهو بيعمل إيه في DEPI؟,MSD Digital HCM Specialist مسؤول عن الشغل اليومي اللي بيغطي شؤون الموظفين والتايم شيت والرواتب باستخدام نظام MSD.,Management & ERP
عدد ساعات تراك MSD Digital Human Resources Specialist في DEPI كام؟,إجمالي عدد الساعات لتراك MSD Digital Human Resources Specialist هو 75 ساعة.,Management & ERP
أول كورس هتاخده في تراك MSD Digital Human Resources Specialist؟,"أول كورس في الخطة الدراسية لـ MSD Digital Human Resources Specialist هو ""ERP Business Introduction and HR Concepts"".",Management & ERP
مين الـ SAP Digital Accounting Specialist وهو بيعمل إيه في DEPI؟,SAP Digital Accounting Specialist مسؤول عن الشغل اليومي اللي بيغطي كل موديولات المحاسبة زي الـ GL وحسابات الدائنين والمدينين والبنوك والأصول الثابتة، باستخدام نظام SAP.,Management & ERP
عدد ساعات تراك SAP Digital Accounting Specialist في DEPI كام؟,إجمالي عدد الساعات لتراك SAP Digital Accounting Specialist هو 81 ساعة.,Management & ERP
أول كورس هتاخده في تراك SAP Digital Accounting Specialist؟,"أول كورس في الخطة الدراسية لـ SAP Digital Accounting Specialist هو ""ERP Business Introduction and ERP Accounting Concepts"".",Management & ERP
مين الـ SAP Digital Supply Chain Specialist وهو بيعمل إيه في DEPI؟,SAP Digital SCM Specialist مسؤول عن الشغل اليومي اللي بيغطي أنشطة الشراء والمخازن باستخدام نظام SAP.,Management & ERP
عدد ساعات تراك SAP Digital Supply Chain Specialist في DEPI كام؟,إجمالي عدد الساعات لتراك SAP Digital Supply Chain Specialist هو 75 ساعة.,Management & ERP
أول كورس هتاخده في تراك SAP Digital Supply Chain Specialist؟,"أول كورس في الخطة الدراسية لـ SAP Digital Supply Chain Specialist هو ""ERP Business Introduction and SCM Concepts"".",Management & ERP
مين الـ SAP Digital Human Resources Specialist وهو بيعمل إيه في DEPI؟,SAP Digital HCM Specialist مسؤول عن الشغل اليومي اللي بيغطي البيانات الشخصية والتايم شيت والرواتب، وبيقدم للعميل تخصص رقمي يغطي كل مجالات الموارد البشرية، باستخدام نظام SAP.,Management & ERP
عدد ساعات تراك SAP Digital Human Resources Specialist في DEPI كام؟,إجمالي عدد الساعات لتراك SAP Digital Human Resources Specialist هو 75 ساعة.,Management & ERP
أول كورس هتاخده في تراك SAP Digital Human Resources Specialist؟,"أول كورس في الخطة الدراسية لـ SAP Digital Human Resources Specialist هو ""ERP Business Introduction and HR Concepts"".",Management & ERP
