question,answer
ممكن تقولي عدد الـtracks؟,أكثر من 30 professional track حسب الصفحة الرسمية.
طب عدد الـtracks؟,أكثر من 30 professional track حسب الصفحة الرسمية.
ممكن تقولي هل فيه فرصة ربط بالتوظيف؟,المبادرة بتسعى لربط المتدربين المميزين بفرص العمل من خلال شركاء الصناعة، مع on-the-job training.
طب هل فيه فرصة ربط بالتوظيف؟,المبادرة بتسعى لربط المتدربين المميزين بفرص العمل من خلال شركاء الصناعة، مع on-the-job training.
ممكن تقولي هل فيه allowance؟,الصفحة الرسمية تذكر monthly allowance خلال فترة التدريب داخل المقر، والمذكور 3 شهور.
طب هل فيه allowance؟,الصفحة الرسمية تذكر monthly allowance خلال فترة التدريب داخل المقر، والمذكور 3 شهور.
ممكن تقولي هل محتاج GPA معين؟,لأ، مفيش GPA محدد حسب الـFAQ، لكن لازم تختار تخصص مؤهل وتنجح في اختبارات القبول.
طب هل محتاج GPA معين؟,لأ، مفيش GPA محدد حسب الـFAQ، لكن لازم تختار تخصص مؤهل وتنجح في اختبارات القبول.
ممكن تقولي هل NTI بيوفر لابتوب؟,يفضل يكون عندك laptop، ولو مش متاح فالـNTI بتوفر جهاز خلال فترة التدريب في المقر.
طب هل NTI بيوفر لابتوب؟,يفضل يكون عندك laptop، ولو مش متاح فالـNTI بتوفر جهاز خلال فترة التدريب في المقر.
ممكن تقولي لو استفدت من HireReady قبل كده أقدر أقدم تاني؟,الـFAQ بتوضح إن الاستفادة من HireReady وDigital Egypt Youth تكون مرة واحدة.
طب لو استفدت من HireReady قبل كده أقدر أقدم تاني؟,الـFAQ بتوضح إن الاستفادة من HireReady وDigital Egypt Youth تكون مرة واحدة.
ممكن تقولي لو كتبت بيانات غلط؟,ابعت إلى D4m@nti.sci.eg باسمك بالكامل والرقم القومي لطلب التصحيح.
طب لو كتبت بيانات غلط؟,ابعت إلى D4m@nti.sci.eg باسمك بالكامل والرقم القومي لطلب التصحيح.
ممكن تقولي إمتى النتيجة؟,النتائج بتعلن خلال أسبوعين بعد المقابلة، وبعدها المقبولون يتم التواصل معاهم لاستكمال الأوراق.
طب إمتى النتيجة؟,النتائج بتعلن خلال أسبوعين بعد المقابلة، وبعدها المقبولون يتم التواصل معاهم لاستكمال الأوراق.
ممكن تقولي هل غير المصريين ينفع؟,لأ، المنحة متاحة للمصريين فقط.
طب هل غير المصريين ينفع؟,لأ، المنحة متاحة للمصريين فقط.
ممكن تقولي هل لازم ألتزم بالحضور؟,أيوه، البرنامج full-time حضوري ويلزم الالتزام بالحضور.
طب هل لازم ألتزم بالحضور؟,أيوه، البرنامج full-time حضوري ويلزم الالتزام بالحضور.
ممكن تقولي نسبة الحضور كام؟,لازم تحقق 75% على الأقل من إجمالي ساعات التدريب.
طب نسبة الحضور كام؟,لازم تحقق 75% على الأقل من إجمالي ساعات التدريب.
ممكن تقولي إيه هي CIT Career Launch؟,منحة وطنية تحت مظلة Digital Egypt Youth وتركز على Cybersecurity وDevOps وTelecom Networks.
طب إيه هي CIT Career Launch؟,منحة وطنية تحت مظلة Digital Egypt Youth وتركز على Cybersecurity وDevOps وTelecom Networks.
ممكن تقولي مدتها قد إيه؟,6 شهور.
طب مدتها قد إيه؟,6 شهور.
